N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
50.000000,0.000007,0.000005,0.000003,0.000008,0.000007,0.000005,0.000020,0.000008,0.000015,0.000007,0.000007,0.000006,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000002,0.000000,0.000001
100.000000,0.000017,0.000016,0.000009,0.000024,0.000027,0.000013,0.000031,0.000018,0.000016,0.000021,0.000022,0.000019,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000008,0.000001,0.000002
150.000000,0.000034,0.000036,0.000014,0.000052,0.000045,0.000019,0.000029,0.000015,0.000021,0.000039,0.000044,0.000024,0.000004,0.000002,0.000002,0.000002,0.000002,0.000001,0.000001,0.000015,0.000000,0.000007
200.000000,0.000087,0.000083,0.000028,0.000202,0.000086,0.000031,0.000025,0.000037,0.000091,0.000060,0.000071,0.000029,0.000005,0.000003,0.000002,0.000002,0.000002,0.000001,0.000000,0.000022,0.000000,0.000010
250.000000,0.000092,0.000089,0.000025,0.000126,0.000134,0.000035,0.000037,0.000048,0.000031,0.000173,0.000153,0.000064,0.000004,0.000003,0.000000,0.000001,0.000002,0.000002,0.000000,0.000034,0.000001,0.000018
300.000000,0.000127,0.000121,0.000029,0.000172,0.000166,0.000043,0.000040,0.000050,0.000039,0.000120,0.000144,0.000045,0.000007,0.000004,0.000002,0.000003,0.000003,0.000002,0.000000,0.000053,0.000001,0.000025
350.000000,0.000161,0.000180,0.000038,0.000222,0.000219,0.000060,0.000058,0.000037,0.000037,0.000173,0.000192,0.000055,0.000009,0.000004,0.000003,0.000003,0.000004,0.000002,0.000001,0.000064,0.000001,0.000039
400.000000,0.000215,0.000220,0.000043,0.000287,0.000284,0.000060,0.000075,0.000054,0.000044,0.000196,0.000242,0.000062,0.000009,0.000004,0.000003,0.000004,0.000005,0.000002,0.000000,0.000084,0.000001,0.000053
450.000000,0.000284,0.000274,0.000058,0.000368,0.000399,0.000070,0.000062,0.000043,0.000072,0.000279,0.000322,0.000071,0.000008,0.000004,0.000004,0.000004,0.000005,0.000003,0.000000,0.000105,0.000000,0.000065
500.000000,0.000328,0.000328,0.000055,0.000432,0.000437,0.000078,0.000063,0.000032,0.000055,0.000373,0.000390,0.000082,0.000013,0.000005,0.000004,0.000004,0.000007,0.000003,0.000000,0.000140,0.000001,0.000084
550.000000,0.000384,0.000379,0.000061,0.000523,0.000558,0.000084,0.000050,0.000052,0.000056,0.000438,0.000757,0.000100,0.000018,0.000006,0.000005,0.000006,0.000008,0.000003,0.000001,0.000166,0.000002,0.000139
600.000000,0.000530,0.000498,0.000077,0.000732,0.000808,0.000106,0.000089,0.000060,0.000045,0.000495,0.000658,0.000111,0.000016,0.000015,0.000004,0.000005,0.000009,0.000003,0.000000,0.000219,0.000001,0.000150
650.000000,0.000553,0.000527,0.000074,0.000761,0.000835,0.000108,0.000071,0.000093,0.000072,0.000547,0.000679,0.000112,0.000019,0.000006,0.000006,0.000007,0.000011,0.000003,0.000001,0.000227,0.000001,0.000159
700.000000,0.000642,0.000686,0.000081,0.000872,0.001032,0.000117,0.000052,0.000070,0.000066,0.000624,0.000874,0.000120,0.000020,0.000006,0.000006,0.000007,0.000012,0.000004,0.000001,0.000251,0.000001,0.000198
750.000000,0.000759,0.000749,0.000087,0.000957,0.001119,0.000133,0.000082,0.000048,0.000073,0.000653,0.000900,0.000129,0.000029,0.000007,0.000006,0.000007,0.000014,0.000003,0.000001,0.000320,0.000001,0.000232
800.000000,0.000846,0.000802,0.000103,0.001224,0.001325,0.000133,0.000064,0.000058,0.000111,0.000762,0.001089,0.000140,0.000024,0.000008,0.000006,0.000008,0.000015,0.000004,0.000001,0.000351,0.000002,0.000262
850.000000,0.000904,0.000904,0.000100,0.001298,0.001428,0.000150,0.000082,0.000060,0.000086,0.000976,0.001305,0.000163,0.000038,0.000008,0.000004,0.000008,0.000017,0.000004,0.000001,0.000399,0.000001,0.000316
900.000000,0.000993,0.001020,0.000106,0.001452,0.001635,0.000152,0.000075,0.000059,0.000086,0.000960,0.001468,0.000181,0.000021,0.000008,0.000007,0.000008,0.000019,0.000004,0.000001,0.000502,0.000001,0.000386
950.000000,0.001163,0.001152,0.000116,0.001555,0.001826,0.000165,0.000069,0.000074,0.000066,0.001086,0.001593,0.000169,0.000043,0.000012,0.000009,0.000011,0.000021,0.000005,0.000001,0.000554,0.000001,0.000486
999.000000,0.001287,0.001339,0.000122,0.001762,0.002264,0.000178,0.000070,0.000081,0.000085,0.001115,0.001807,0.000183,0.000035,0.000009,0.000009,0.000010,0.000023,0.000005,0.000000,0.000678,0.000001,0.000559
